system:index,CHIRPS_MATOC,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_MATOC_CORR
98,141.3223286041847,2020-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-03-01,3,1.0176523505820951,143.81699989378382
99,64.23563340994029,2020-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-04-01,4,1.4159446733735415,90.95410296758045
100,38.78429879592015,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-05-01,5,1.5219398888725382,59.027371399462034
101,3.8267616727747593,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-06-01,6,1.7515368991023574,6.702714273935652
102,2.5967058777236023,2020-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-07-01,7,1.7446835045501838,4.530429911032876
103,8.206078584377583,2020-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-08-01,8,1.1623543434326868,9.538371085101238
104,34.93916540191724,2020-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-09-01,9,0.9070016507451076,31.689880695195292
105,117.13124133990362,2020-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-10-01,10,1.3044451451374333,152.7912791097583
106,50.81197273731232,2020-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-11-01,11,1.4967678322639064,76.05372628707967
107,101.6741228745534,2020-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-12-01,12,1.6946525708826246,172.30231372159778
108,79.3809844989043,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-01,1,1.4594143508430073,115.84974796174724
109,89.32811648112077,2021-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01,2,1.1729096681517877,104.7738114584956
110,210.1948394408593,2021-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-01,3,1.0176523505820951,213.90527243721655
111,85.6433068055373,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-04-01,4,1.4159446733735415,121.26618408139652
112,37.78405323395362,2021-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-05-01,5,1.5219398888725382,57.50505778003744
113,1.9626174798378575,2021-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-06-01,6,1.7515368991023574,3.4375969347592843
114,1.8232866250551665,2021-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-07-01,7,1.7446835045501838,3.181058098800725
115,8.068364299260653,2021-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-08-01,8,1.1623543434326868,9.378298287642846
