fecha,Q_m3s
2013-11-27,0.07741659722222222
2013-11-28,0.07678284722222223
2013-11-29,0.07300989583333334
2013-11-30,0.06526847222222222
2013-12-01,0.06742
2013-12-02,0.08811593749999999
2013-12-03,0.12805774305555553
2013-12-04,0.17040081272084806
2013-12-05,0.28624653679653683
2013-12-06,0.24121996515679445
2013-12-07,0.19742013888888887
2013-12-08,0.19581178321678322
2013-12-09,0.17274461805555555
2013-12-10,0.15434756944444444
2013-12-11,0.13326909722222224
2013-12-12,0.1331969097222222
2013-12-13,0.14546835664335664
2013-12-14,0.16955247386759584
2013-12-15,0.2063079094076655
2013-12-16,0.1914809349593496
2013-12-17,0.21338084210526315
2013-12-18,0.15017996527777777
2013-12-19,0.12533326388888888
2013-12-20,0.11295059027777778
2013-12-21,0.10110947916666667
2013-12-22,0.09048510416666666
2013-12-23,0.08279434027777778
2013-12-24,0.07469347222222222
2013-12-25,0.06410010416666667
2013-12-26,0.055407083333333336
2013-12-27,0.05046166666666666
2013-12-28,0.04579048611111111
2013-12-29,0.042179375
2013-12-30,0.04086475694444444
2013-12-31,0.05795336805555556
2014-01-01,0.07749252777777778
2014-01-02,0.07767744444444444
2014-01-03,0.06958947222222223
2014-01-04,0.059238458333333334
2014-01-05,0.08353390972222223
2014-01-06,0.09898594097222223
2014-01-07,0.10445921527777778
2014-01-08,0.14174013194444446
2014-01-09,0.1344601111111111
2014-01-10,0.15749604929577465
2014-01-11,0.22721744160583943
2014-01-12,0.17099564583333335
2014-01-13,0.13077977430555554
2014-01-14,0.11234236111111111
2014-01-15,0.10365257638888889
2014-01-16,0.11786083680555556
2014-01-17,0.14643600347222221
2014-01-18,0.12087258333333334
2014-01-19,0.10945167013888889
2014-01-20,0.11298743402777776
2014-01-21,0.14427718466898956
2014-01-22,0.15902890625
2014-01-23,0.17846028214285714
2014-01-24,0.17037674305555556
2014-01-25,0.14492774305555556
2014-01-26,0.12528799652777778
2014-01-27,0.11043965972222222
2014-01-28,0.09953437152777778
2014-01-29,0.09009547916666666
2014-01-30,0.08247955555555556
2014-01-31,0.08497995486111111
2014-02-01,0.09596902083333333
2014-02-02,0.1266314652014652
2014-02-03,0.1894854355400697
2014-02-04,0.14617127430555554
2014-02-05,0.12842090277777776
2014-02-06,0.179355790513834
2014-02-07,0.20671525524475523
2014-02-08,0.15312152083333333
2014-02-09,0.1444301909722222
2014-02-10,0.14234428472222221
2014-02-11,0.16053459574468085
2014-02-12,0.17383654736842105
2014-02-13,0.25091186142322097
2014-02-14,0.19066774475524476
2014-02-15,0.15965968055555557
2014-02-16,0.14308486805555554
2014-02-17,0.16494028723404255
2014-02-18,0.19715889605734765
2014-02-19,0.19538367137809187
2014-02-20,0.16955274564459932
2014-02-21,0.15998637152777778
2014-02-22,0.18257637499999999
2014-02-23,0.18801792134831463
2014-02-24,0.23886375272727275
2014-02-25,0.2634491090909091
2014-02-26,0.21259585211267606
2014-02-27,0.166467125
2014-02-28,0.14686224652777777
2014-03-01,0.15972014736842105
2014-03-02,0.1432587986111111
2014-03-03,0.13683207291666666
2014-03-04,0.1670543192982456
2014-03-05,0.16240565625
2014-03-06,0.17077164236111111
2014-03-07,0.20628406766917293
2014-03-08,0.2376527097902098
2014-03-09,0.21461778798586573
2014-03-10,0.2268337748091603
2014-03-11,0.21692491549295775
2014-03-12,0.17239689198606273
2014-03-13,0.18775128873239436
2014-03-14,0.22426462132352942
2014-03-15,0.2170922846975089
2014-03-16,0.22692056140350877
2014-03-17,0.19041495121951219
2014-03-18,0.1927407902097902
2014-03-19,0.18103904166666665
2014-03-20,0.16490685416666667
2014-03-21,0.14850948958333332
2014-03-22,0.15565194444444444
2014-03-23,0.13077130555555558
2014-03-24,0.14795893706293708
2014-03-25,0.15821678472222223
2014-03-26,0.15051493617021275
2014-03-27,0.17981490625
2014-03-28,0.15921494444444445
2014-03-29,0.13455683680555555
2014-03-30,0.12345149305555554
2014-03-31,0.11473227083333332
2014-04-01,0.10204293402777778
2014-04-02,0.09645920833333334
2014-04-03,0.09889034027777778
2014-04-04,0.09704405902777778
2014-04-05,0.08680759027777778
2014-04-06,0.07827021180555555
2014-04-07,0.0770600486111111
2014-04-08,0.07603670833333334
2014-04-09,0.08325206597222222
2014-04-10,0.08874506944444444
2014-04-11,0.08628875
2014-04-12,0.07789379513888889
2014-04-13,0.07343280208333333
2014-04-14,0.0692610451388889
2014-04-15,0.06419564930555556
2014-04-16,0.06155526041666667
2014-04-17,0.054681541666666666
2014-04-18,0.0715233923611111
2014-04-19,0.10052084027777779
2014-04-20,0.08303821875
2014-04-21,0.07295521527777778
2014-04-22,0.07948397222222221
2014-04-23,0.09254363194444444
2014-04-24,0.0985415625
2014-04-25,0.08800246428571427
2014-04-26,
2014-04-27,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-03,
2014-05-04,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-10,
2014-05-11,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-05-31,
2014-06-01,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-07,
2014-06-08,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-14,
2014-06-15,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,0.017904025477707006
2014-06-21,0.018499597222222223
2014-06-22,0.017849104166666668
2014-06-23,0.01664428125
2014-06-24,0.01850775
2014-06-25,0.018132836805555556
2014-06-26,0.019205673611111113
2014-06-27,0.02213552083333333
2014-06-28,0.01767420138888889
2014-06-29,0.01547303125
2014-06-30,0.01764695138888889
2014-07-01,0.020226868055555555
2014-07-02,0.02332469097222222
2014-07-03,0.021919399305555556
2014-07-04,0.019910791666666667
2014-07-05,0.019258395833333334
2014-07-06,0.01851751736111111
2014-07-07,0.018304364583333333
2014-07-08,0.017455552083333332
2014-07-09,0.016118479166666665
2014-07-10,0.015400895833333332
2014-07-11,0.014840149305555557
2014-07-12,0.01435311111111111
2014-07-13,0.014117340277777779
2014-07-14,0.01277296875
2014-07-15,0.01298157638888889
2014-07-16,0.012825461805555556
2014-07-17,0.01254009375
2014-07-18,0.01155003125
2014-07-19,0.011676819444444445
2014-07-20,0.013993190972222224
2014-07-21,0.015708892361111112
2014-07-22,0.013808694444444445
2014-07-23,0.013030739583333333
2014-07-24,0.012270881944444444
2014-07-25,0.02388791637630662
2014-07-26,0.009128899305555556
2014-07-27,0.008769527777777779
2014-07-28,0.011134538194444444
2014-07-29,0.009251402777777779
2014-07-30,0.00930932638888889
2014-07-31,0.010164496527777778
2014-08-01,0.008637791666666667
2014-08-02,0.009206149305555557
2014-08-03,0.009250666666666666
2014-08-04,0.009171614583333335
2014-08-05,0.009586791666666667
2014-08-06,0.01023204861111111
2014-08-07,0.010798611111111111
2014-08-08,0.010709774305555555
2014-08-09,0.011100319444444444
2014-08-10,0.010981420138888889
2014-08-11,0.010674274305555556
2014-08-12,0.010472500000000001
2014-08-13,0.010216482638888889
2014-08-14,0.009923534722222222
2014-08-15,0.009624104166666668
2014-08-16,0.009007329861111113
2014-08-17,0.008840805555555557
2014-08-18,0.008952170138888889
2014-08-19,0.009123486111111112
2014-08-20,0.008968284722222223
2014-08-21,0.008866673611111112
2014-08-22,0.008742375
2014-08-23,0.008725024305555556
2014-08-24,0.00852020138888889
2014-08-25,0.0084905625
2014-08-26,0.008577802083333334
2014-08-27,0.008649854166666667
2014-08-28,0.008761618055555555
2014-08-29,0.009104493055555557
2014-08-30,0.008476333333333334
2014-08-31,0.00841101388888889
2014-09-01,0.014580773519163762
2014-09-02,0.012034951388888888
2014-09-03,0.00855120138888889
2014-09-04,0.008136597222222222
2014-09-05,0.010340646643109542
2014-09-06,0.00909996875
2014-09-07,0.006548885416666667
2014-09-08,0.005413975694444444
2014-09-09,0.0052679375
2014-09-10,0.004359038194444445
2014-09-11,0.004128381944444444
2014-09-12,0.004344760416666666
2014-09-13,0.004778354166666667
2014-09-14,0.004982555555555556
2014-09-15,0.007142982638888889
2014-09-16,0.010309375
2014-09-17,0.011248697916666666
2014-09-18,0.009520020833333333
2014-09-19,0.009736135416666666
2014-09-20,0.010889375
2014-09-21,0.012016513888888889
2014-09-22,0.017266916666666667
2014-09-23,0.018962104166666667
2014-09-24,0.01452660763888889
2014-09-25,0.014394411149825785
2014-09-26,0.0054106006944444444
2014-09-27,0.004751951388888889
2014-09-28,0.004644815972222222
2014-09-29,0.011945399305555555
2014-09-30,0.020859
2014-10-01,0.01150928125
2014-10-02,0.009844315972222222
2014-10-03,0.008660364583333333
2014-10-04,0.00813320138888889
2014-10-05,0.007524694444444444
2014-10-06,0.007256350694444445
2014-10-07,0.007763013888888889
2014-10-08,0.00943967361111111
2014-10-09,0.012732072916666667
